month,repo_id,repo_name,openrank
2016-04,55072677,weaviate/weaviate,2.81
2016-05,55072677,weaviate/weaviate,2.38
2016-06,55072677,weaviate/weaviate,2.02
2016-07,55072677,weaviate/weaviate,1.72
2016-08,55072677,weaviate/weaviate,2.48
2016-09,55072677,weaviate/weaviate,2.1
2016-10,55072677,weaviate/weaviate,1.79
2016-11,55072677,weaviate/weaviate,0.88
2016-12,55072677,weaviate/weaviate,1.63
2017-01,55072677,weaviate/weaviate,2.74
2017-02,55072677,weaviate/weaviate,1.75
2017-03,55072677,weaviate/weaviate,1.48
2017-04,55072677,weaviate/weaviate,2.07
2017-05,55072677,weaviate/weaviate,2.35
2017-06,55072677,weaviate/weaviate,2.81
2017-07,55072677,weaviate/weaviate,3.12
2017-08,55072677,weaviate/weaviate,3.3
2017-09,55072677,weaviate/weaviate,4.42
2017-10,55072677,weaviate/weaviate,4.5
2017-11,55072677,creativesoftwarefdn/weaviate,6.28
2017-12,55072677,creativesoftwarefdn/weaviate,5.32
2018-01,55072677,creativesoftwarefdn/weaviate,6.13
2018-02,55072677,creativesoftwarefdn/weaviate,6.47
2018-03,55072677,creativesoftwarefdn/weaviate,6.76
2018-04,55072677,creativesoftwarefdn/weaviate,4.75
2018-05,55072677,creativesoftwarefdn/weaviate,3.29
2018-06,55072677,creativesoftwarefdn/weaviate,1.87
2018-07,55072677,creativesoftwarefdn/weaviate,4.34
2018-08,55072677,creativesoftwarefdn/weaviate,6.17
2018-09,55072677,creativesoftwarefdn/weaviate,7.66
2018-10,55072677,creativesoftwarefdn/weaviate,10.91
2018-11,55072677,creativesoftwarefdn/weaviate,11.73
2018-12,55072677,creativesoftwarefdn/weaviate,13.64
2019-01,55072677,creativesoftwarefdn/weaviate,13.28
2019-02,55072677,creativesoftwarefdn/weaviate,12.32
2019-03,55072677,creativesoftwarefdn/weaviate,13.57
2019-04,55072677,creativesoftwarefdn/weaviate,12.9
2019-05,55072677,semi-technologies/weaviate,10.3
2019-06,55072677,semi-technologies/weaviate,8.45
2019-07,55072677,semi-technologies/weaviate,8.2
2019-08,55072677,semi-technologies/weaviate,7.3
2019-09,55072677,semi-technologies/weaviate,8.07
2019-10,55072677,semi-technologies/weaviate,6.96
2019-11,55072677,semi-technologies/weaviate,7.06
2019-12,55072677,semi-technologies/weaviate,8.06
2020-01,55072677,semi-technologies/weaviate,5.54
2020-02,55072677,semi-technologies/weaviate,4.88
2020-03,55072677,semi-technologies/weaviate,5.05
2020-04,55072677,semi-technologies/weaviate,7.38
2020-05,55072677,semi-technologies/weaviate,7.77
2020-06,55072677,semi-technologies/weaviate,8.51
2020-07,55072677,semi-technologies/weaviate,7.92
2020-08,55072677,semi-technologies/weaviate,5.77
2020-09,55072677,semi-technologies/weaviate,6.09
2020-10,55072677,semi-technologies/weaviate,8.3
2020-11,55072677,semi-technologies/weaviate,10.49
2020-12,55072677,semi-technologies/weaviate,10.66
2021-01,55072677,semi-technologies/weaviate,10.76
2021-02,55072677,semi-technologies/weaviate,10.23
2021-03,55072677,semi-technologies/weaviate,10.51
2021-04,55072677,semi-technologies/weaviate,10.14
2021-05,55072677,semi-technologies/weaviate,9.89
2021-06,55072677,semi-technologies/weaviate,9.54
2021-07,55072677,semi-technologies/weaviate,13.1
2021-08,55072677,semi-technologies/weaviate,11.3
2021-09,55072677,semi-technologies/weaviate,11.4
2021-10,55072677,semi-technologies/weaviate,13.73
2021-11,55072677,semi-technologies/weaviate,10.76
2021-12,55072677,semi-technologies/weaviate,10.05
2022-01,55072677,semi-technologies/weaviate,11.76
2022-02,55072677,semi-technologies/weaviate,9.85
2022-03,55072677,semi-technologies/weaviate,13.45
2022-04,55072677,semi-technologies/weaviate,13.85
2022-05,55072677,semi-technologies/weaviate,12.91
2022-06,55072677,semi-technologies/weaviate,20.2
2022-07,55072677,semi-technologies/weaviate,21.91
2022-08,55072677,semi-technologies/weaviate,29.29
2022-09,55072677,semi-technologies/weaviate,27.75
2022-10,55072677,semi-technologies/weaviate,29.4
2022-11,55072677,semi-technologies/weaviate,31.48
2022-12,55072677,semi-technologies/weaviate,29.59
2023-01,55072677,weaviate/weaviate,31.6
2023-02,55072677,weaviate/weaviate,35.44
2023-03,55072677,weaviate/weaviate,37.58
2023-04,55072677,weaviate/weaviate,41.5
2023-05,55072677,weaviate/weaviate,38.15
2023-06,55072677,weaviate/weaviate,46.81
2023-07,55072677,weaviate/weaviate,51.78
2023-08,55072677,weaviate/weaviate,53.65
2023-09,55072677,weaviate/weaviate,55.18
2023-10,55072677,weaviate/weaviate,54.14
2023-11,55072677,weaviate/weaviate,56.17
2023-12,55072677,weaviate/weaviate,52.42
2024-01,55072677,weaviate/weaviate,54.84
2024-02,55072677,weaviate/weaviate,63.29
2024-03,55072677,weaviate/weaviate,66.89
2024-04,55072677,weaviate/weaviate,73
2024-05,55072677,weaviate/weaviate,68.67
2024-06,55072677,weaviate/weaviate,81.39
2024-07,55072677,weaviate/weaviate,71.69
2024-08,55072677,weaviate/weaviate,74.57
2024-09,55072677,weaviate/weaviate,75.65
2019-09,208728772,milvus-io/milvus,0.74
2019-10,208728772,milvus-io/milvus,7.67
2019-11,208728772,milvus-io/milvus,21.94
2019-12,208728772,milvus-io/milvus,32.25
2020-01,208728772,milvus-io/milvus,40.04
2020-02,208728772,milvus-io/milvus,40.53
2020-03,208728772,milvus-io/milvus,40.68
2020-04,208728772,milvus-io/milvus,63.12
2020-05,208728772,milvus-io/milvus,56.06
2020-06,208728772,milvus-io/milvus,54.69
2020-07,208728772,milvus-io/milvus,64.02
2020-08,208728772,milvus-io/milvus,69.73
2020-09,208728772,milvus-io/milvus,72.97
2020-10,208728772,milvus-io/milvus,67.76
2020-11,208728772,milvus-io/milvus,71.1
2020-12,208728772,milvus-io/milvus,69.24
2021-01,208728772,milvus-io/milvus,66.38
2021-02,208728772,milvus-io/milvus,48.4
2021-03,208728772,milvus-io/milvus,50.61
2021-04,208728772,milvus-io/milvus,50.85
2021-05,208728772,milvus-io/milvus,62.18
2021-06,208728772,milvus-io/milvus,74.05
2021-07,208728772,milvus-io/milvus,90.73
2021-08,208728772,milvus-io/milvus,96.05
2021-09,208728772,milvus-io/milvus,101.02
2021-10,208728772,milvus-io/milvus,107.1
2021-11,208728772,milvus-io/milvus,111.82
2021-12,208728772,milvus-io/milvus,122.18
2022-01,208728772,milvus-io/milvus,113.43
2022-02,208728772,milvus-io/milvus,104.48
2022-03,208728772,milvus-io/milvus,108.3
2022-04,208728772,milvus-io/milvus,107.57
2022-05,208728772,milvus-io/milvus,112.12
2022-06,208728772,milvus-io/milvus,124.24
2022-07,208728772,milvus-io/milvus,111.43
2022-08,208728772,milvus-io/milvus,118.09
2022-09,208728772,milvus-io/milvus,127.19
2022-10,208728772,milvus-io/milvus,132.12
2022-11,208728772,milvus-io/milvus,133.19
2022-12,208728772,milvus-io/milvus,135.82
2023-01,208728772,milvus-io/milvus,128.15
2023-02,208728772,milvus-io/milvus,133.19
2023-03,208728772,milvus-io/milvus,131.37
2023-04,208728772,milvus-io/milvus,127.99
2023-05,208728772,milvus-io/milvus,135.02
2023-06,208728772,milvus-io/milvus,149.12
2023-07,208728772,milvus-io/milvus,171.75
2023-08,208728772,milvus-io/milvus,174.83
2023-09,208728772,milvus-io/milvus,177.3
2023-10,208728772,milvus-io/milvus,173.42
2023-11,208728772,milvus-io/milvus,184.15
2023-12,208728772,milvus-io/milvus,169.68
2024-01,208728772,milvus-io/milvus,171.52
2024-02,208728772,milvus-io/milvus,166.46
2024-03,208728772,milvus-io/milvus,162.07
2024-04,208728772,milvus-io/milvus,171.57
2024-05,208728772,milvus-io/milvus,172.86
2024-06,208728772,milvus-io/milvus,207.5
2024-07,208728772,milvus-io/milvus,188.54
2024-08,208728772,milvus-io/milvus,169.16
2024-09,208728772,milvus-io/milvus,173.34
2020-12,268163609,qdrant/qdrant,0.61
2021-01,268163609,qdrant/qdrant,1.3
2021-02,268163609,qdrant/qdrant,1.11
2021-03,268163609,qdrant/qdrant,1.5
2021-04,268163609,qdrant/qdrant,1.6
2021-05,268163609,qdrant/qdrant,2.59
2021-06,268163609,qdrant/qdrant,2.86
2021-07,268163609,qdrant/qdrant,4.93
2021-08,268163609,qdrant/qdrant,4.57
2021-09,268163609,qdrant/qdrant,4.03
2021-10,268163609,qdrant/qdrant,3.63
2021-11,268163609,qdrant/qdrant,5.43
2021-12,268163609,qdrant/qdrant,7.62
2022-01,268163609,qdrant/qdrant,10.74
2022-02,268163609,qdrant/qdrant,12.06
2022-03,268163609,qdrant/qdrant,13.4
2022-04,268163609,qdrant/qdrant,14.89
2022-05,268163609,qdrant/qdrant,16.78
2022-06,268163609,qdrant/qdrant,19.82
2022-07,268163609,qdrant/qdrant,19.51
2022-08,268163609,qdrant/qdrant,19.7
2022-09,268163609,qdrant/qdrant,20.26
2022-10,268163609,qdrant/qdrant,19.98
2022-11,268163609,qdrant/qdrant,16.95
2022-12,268163609,qdrant/qdrant,15.45
2023-01,268163609,qdrant/qdrant,18.42
2023-02,268163609,qdrant/qdrant,19.64
2023-03,268163609,qdrant/qdrant,24.49
2023-04,268163609,qdrant/qdrant,35.28
2023-05,268163609,qdrant/qdrant,45.86
2023-06,268163609,qdrant/qdrant,49.82
2023-07,268163609,qdrant/qdrant,52.5
2023-08,268163609,qdrant/qdrant,55.48
2023-09,268163609,qdrant/qdrant,55.15
2023-10,268163609,qdrant/qdrant,50.69
2023-11,268163609,qdrant/qdrant,52.62
2023-12,268163609,qdrant/qdrant,54.55
2024-01,268163609,qdrant/qdrant,59.67
2024-02,268163609,qdrant/qdrant,69.3
2024-03,268163609,qdrant/qdrant,62.48
2024-04,268163609,qdrant/qdrant,61.38
2024-05,268163609,qdrant/qdrant,57.56
2024-06,268163609,qdrant/qdrant,59.75
2024-07,268163609,qdrant/qdrant,57.16
2024-08,268163609,qdrant/qdrant,58.03
2024-09,268163609,qdrant/qdrant,58.03
2021-09,388946490,facebookincubator/velox,10.4
2021-10,388946490,facebookincubator/velox,25.9
2021-11,388946490,facebookincubator/velox,34.17
2021-12,388946490,facebookincubator/velox,41.48
2022-01,388946490,facebookincubator/velox,45.14
2022-02,388946490,facebookincubator/velox,53.85
2022-03,388946490,facebookincubator/velox,58.44
2022-04,388946490,facebookincubator/velox,62.16
2022-05,388946490,facebookincubator/velox,64.88
2022-06,388946490,facebookincubator/velox,71.01
2022-07,388946490,facebookincubator/velox,73.06
2022-08,388946490,facebookincubator/velox,84.5
2022-09,388946490,facebookincubator/velox,87.14
2022-10,388946490,facebookincubator/velox,95.89
2022-11,388946490,facebookincubator/velox,95.58
2022-12,388946490,facebookincubator/velox,89.34
2023-01,388946490,facebookincubator/velox,99.17
2023-02,388946490,facebookincubator/velox,97.76
2023-03,388946490,facebookincubator/velox,105.29
2023-04,388946490,facebookincubator/velox,109.87
2023-05,388946490,facebookincubator/velox,110.94
2023-06,388946490,facebookincubator/velox,125.73
2023-07,388946490,facebookincubator/velox,132.32
2023-08,388946490,facebookincubator/velox,146.62
2023-09,388946490,facebookincubator/velox,150.8
2023-10,388946490,facebookincubator/velox,155.77
2023-11,388946490,facebookincubator/velox,162.23
2023-12,388946490,facebookincubator/velox,161.73
2024-01,388946490,facebookincubator/velox,156.49
2024-02,388946490,facebookincubator/velox,145.87
2024-03,388946490,facebookincubator/velox,144.93
2024-04,388946490,facebookincubator/velox,149.02
2024-05,388946490,facebookincubator/velox,142.78
2024-06,388946490,facebookincubator/velox,143.69
2024-07,388946490,facebookincubator/velox,135.29
2024-08,388946490,facebookincubator/velox,129.31
2024-09,388946490,facebookincubator/velox,127.45
