repo_id,platform,repo_name,openrank,Labels,repo_url
4542716,GitHub,NixOS/nixpkgs,19058.49,System Software,https://github.com/NixOS/nixpkgs
75821432,GitHub,llvm/llvm-project,16496.37,Software Tools; Cloud Native; Cloud Native - Wasm; Cloud Native - Wasm - Toolchain,https://github.com/llvm/llvm-project
12888993,GitHub,home-assistant/core,10651.24,Application Software,https://github.com/home-assistant/core
632909818,GitHub,digitalinnovationone/dio-lab-open-source,9899.67,,https://github.com/digitalinnovationone/dio-lab-open-source
65600975,GitHub,pytorch/pytorch,9349.9,Libraries and Frameworks; Meta; United States of America; Artificial Intelligence,https://github.com/pytorch/pytorch
19745004,GitHub,odoo/odoo,8591.75,Application Software; COSS; Odoo; Belgium,https://github.com/odoo/odoo
41881900,GitHub,microsoft/vscode,8449.12,Software Tools; Microsoft; United States of America,https://github.com/microsoft/vscode
59771425,GitHub,zephyrproject-rtos/zephyr,6968.92,System Software; Internet of Things,https://github.com/zephyrproject-rtos/zephyr
15634981,GitHub,godotengine/godot,6444.36,Software Tools,https://github.com/godotengine/godot
285902689,GitHub,Expensify/App,6234.33,,https://github.com/Expensify/App
7833168,GitHub,elastic/kibana,6065.33,Application Software; COSS; Elastic; United States of America; Big Data; Big Data - Visualization,https://github.com/elastic/kibana
197275551,GitHub,microsoft/winget-pkgs,5858.62,Non Software; Microsoft; United States of America,https://github.com/microsoft/winget-pkgs
133843125,GitHub,department-of-veterans-affairs/va.gov-team,5557.2,,https://github.com/department-of-veterans-affairs/va.gov-team
31792824,GitHub,flutter/flutter,5500.24,Libraries and Frameworks; Google; United States of America; Frontend,https://github.com/flutter/flutter
15111821,GitHub,grafana/grafana,5321.13,Software Tools; Big Data; Big Data - Visualization; Cloud Native; Cloud Native - Observability and Analysis; Cloud Native - Observability and Analysis - Monitoring,https://github.com/grafana/grafana
724712,GitHub,rust-lang/rust,4790.62,Software Tools,https://github.com/rust-lang/rust
210716005,GitHub,dotnet/runtime,4776.7,Software Tools; Microsoft; United States of America,https://github.com/dotnet/runtime
340547520,GitHub,zed-industries/zed,4772.9,,https://github.com/zed-industries/zed
404565294,GitHub,DaoCloud/public-image-mirror,4200.28,DaoCloud; China,https://github.com/DaoCloud/public-image-mirror
60246359,GitHub,ClickHouse/ClickHouse,3962.88,System Software; Big Data - Analysis Engine; Big Data; Cloud Native - App Definition and Development - Database; Cloud Native - App Definition and Development; Cloud Native; Database; Database - Relational,https://github.com/ClickHouse/ClickHouse
21740844,GitHub,openshift/openshift-docs,3953.19,,https://github.com/openshift/openshift-docs
72685026,GitHub,MicrosoftDocs/azure-docs,3827.56,Non Software,https://github.com/MicrosoftDocs/azure-docs
75224144,GitHub,openshift/release,3826.69,,https://github.com/openshift/release
552661142,GitHub,langchain-ai/langchain,3770.15,Artificial Intelligence - Generative Artificial Intelligence; Artificial Intelligence - Generative Artificial Intelligence - Model - Fundamental Model; Artificial Intelligence - Generative Artificial Intelligence - Model; Artificial Intelligence,https://github.com/langchain-ai/langchain
70107786,GitHub,vercel/next.js,3734.69,Libraries and Frameworks; Frontend,https://github.com/vercel/next.js
320636477,GitHub,WebKit/WebKit,3722.81,Application Software,https://github.com/WebKit/WebKit
45936895,GitHub,Automattic/wp-calypso,3702.63,Application Software,https://github.com/Automattic/wp-calypso
599547518,GitHub,vllm-project/vllm,3609.02,Artificial Intelligence - Generative Artificial Intelligence; Artificial Intelligence - Generative Artificial IntellIgence - Tool - Deployment Tool; Artificial Intelligence - Generative Artificial Intelligence - Tool; Artificial Intelligence,https://github.com/vllm-project/vllm
155220641,GitHub,huggingface/transformers,3582.88,Libraries and Frameworks; Artificial Intelligence - Generative Artificial Intelligence; Artificial Intelligence - Generative Artificial Intelligence - Model - Fundamental Model; Artificial Intelligence - Generative Artificial Intelligence - Model; Artificial Intelligence; Artificial Intelligence - Large Language Model,https://github.com/huggingface/transformers
149121954,GitHub,openjdk/jdk,3548.73,Libraries and Frameworks; Oracle; United States of America,https://github.com/openjdk/jdk
68720867,GitHub,firstcontributions/first-contributions,3467.38,Non Software,https://github.com/firstcontributions/first-contributions
873328,GitHub,getsentry/sentry,3434.61,Software Tools,https://github.com/getsentry/sentry
65711522,GitHub,PaddlePaddle/Paddle,3429.97,Libraries and Frameworks; Baidu; PaddlePaddle; China; Artificial Intelligence,https://github.com/PaddlePaddle/Paddle
81598961,GitHub,python/cpython,3418.27,Software Tools,https://github.com/python/cpython
80862584,GitHub,WordPress/gutenberg,3378.56,Software Tools; COSS; WordPress; United States of America,https://github.com/WordPress/gutenberg
489754271,GitHub,Kas-tle/java2bedrock.sh,3366.23,,https://github.com/Kas-tle/java2bedrock.sh
99919302,GitHub,apache/doris,3359.62,Software Tools; Apache Doris; Baidu; Apache Software Foundation; China; Big Data - Analysis Engine; Big Data; Database; Database - Relational,https://github.com/apache/doris
357728969,GitHub,oven-sh/bun,3351.51,Software Tools,https://github.com/oven-sh/bun
20580498,GitHub,kubernetes/kubernetes,3231.71,System Software; Google; Cloud Native Computing Foundation (CNCF); Kubernetes; United States of America; Cloud Native; Cloud Native - Orchestration & Management; Cloud Native - Orchestration & Management - Scheduling & Orchestration,https://github.com/kubernetes/kubernetes
3234987,GitHub,tgstation/tgstation,3213.66,,https://github.com/tgstation/tgstation
507775,GitHub,elastic/elasticsearch,3184.91,System Software; COSS; Elastic; United States of America; Big Data - Analysis Engine; Big Data; Database - Document; Database; Database - Search Engine,https://github.com/elastic/elasticsearch
535360445,GitHub,ultralytics/ultralytics,3141.9,,https://github.com/ultralytics/ultralytics
92001425,GitHub,space-wizards/space-station-14,3103.5,,https://github.com/space-wizards/space-station-14
2179920,GitHub,woocommerce/woocommerce,3017.89,Application Software,https://github.com/woocommerce/woocommerce
65750241,GitHub,expo/expo,2998.56,Software Tools,https://github.com/expo/expo
153097643,GitHub,openvinotoolkit/openvino,2971.06,Software Tools; Intel; United States of America; Artificial Intelligence,https://github.com/openvinotoolkit/openvino
49970739,GitHub,DataDog/datadog-agent,2906.59,,https://github.com/DataDog/datadog-agent
658928958,GitHub,ollama/ollama,2898.84,,https://github.com/ollama/ollama
283046497,GitHub,airbytehq/airbyte,2838.08,Software Tools; Big Data - Data Integration; Big Data,https://github.com/airbytehq/airbyte
365697493,GitHub,leanprover-community/mathlib4,2812.9,,https://github.com/leanprover-community/mathlib4
