repo_name,repo_id,stars,openrank25
QwenLM/Qwen2.5,752925682,15790,13.0
meta-llama/llama3,772699441,28428,3.0
deepseek-ai/DeepSeek-R1,919443098,84560,70.0
deepseek-ai/DeepSeek-V3,908531752,90668,83.0
pytorch/pytorch,65600975,87468,940.0
deepspeedai/DeepSpeed,235860204,37176,65.0
NVIDIA/Megatron-LM,176982014,11621,17.0
hiyouga/LLaMA-Factory,646410686,42853,127.0
triton-inference-server/server,151636194,8829,44.0
ollama/ollama,658928958,130776,310.0
vllm-project/vllm,599547518,40086,536.0
sgl-project/sglang,740303686,11255,218.0
ggml-org/llama.cpp,612354784,75756,234.0
xorbitsai/inference,653496050,6761,58.0
langchain-ai/langchain,552661142,102132,178.0
Significant-Gravitas/AutoGPT,614765452,172141,50.0
geekan/MetaGPT,660551251,48734,17.0
eosphoros-ai/DB-GPT,627480054,14932,36.0
langgenius/dify,626805178,77194,385.0
run-llama/llama_index,560704231,39508,128.0
searxng/searxng,357241735,16960,31.0
labring/FastGPT,605673387,22132,80.0
microsoft/graphrag,778431525,23063,49.0
infiniflow/ragflow,730534580,42163,161.0
TabbyML/tabby,614764248,30236,40.0
All-Hands-AI/OpenHands,771302083,48649,123.0
datahub-project/datahub,46398090,10354,93.0
unitycatalog/unitycatalog,814708478,2694,31.0
apache/gravitino,631431061,1260,88.0
ray-project/ray,71932349,35770,217.0
milvus-io/milvus,208728772,32881,158.0
modelcontextprotocol/servers,890668799,12052,44.0
apache/iceberg,158256479,6969,127.0
apache/hudi,76474200,5675,85.0
apache/paimon,447060287,2660,82.0
deepseek-ai/DeepEP,933928679,6895,11.0
kserve/kserve,178075572,3940,29.0
kubeflow/kubeflow,112647343,14713,3.0
