_id,id,likes,private,downloads,tags,pipeline_tag,library_name,createdAt,modelId
678dc6fff905d106be796d8a,deepseek-ai/DeepSeek-R1,11974,False,1757133,"['transformers', 'safetensors', 'deepseek_v3', 'text-generation', 'conversational', 'custom_code', 'arxiv:2501.12948', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'fp8', 'region:us']",text-generation,transformers,2025-01-20T03:46:07.000Z,deepseek-ai/DeepSeek-R1
66aaa908fc35e079a941470d,black-forest-labs/FLUX.1-dev,9915,False,2083960,"['diffusers', 'safetensors', 'text-to-image', 'image-generation', 'flux', 'en', 'license:other', 'endpoints_compatible', 'diffusers:FluxPipeline', 'region:us']",text-to-image,diffusers,2024-07-31T21:13:44.000Z,black-forest-labs/FLUX.1-dev
6300e0f58a4db6e9052953a8,CompVis/stable-diffusion-v1-4,6773,False,1287666,"['diffusers', 'safetensors', 'stable-diffusion', 'stable-diffusion-diffusers', 'text-to-image', 'arxiv:2207.12598', 'arxiv:2112.10752', 'arxiv:2103.00020', 'arxiv:2205.11487', 'arxiv:1910.09700', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,diffusers,2022-08-20T13:26:13.000Z,CompVis/stable-diffusion-v1-4
64bfcd5ff462a99a04fd1ec8,stabilityai/stable-diffusion-xl-base-1.0,6516,False,2454614,"['diffusers', 'onnx', 'safetensors', 'text-to-image', 'stable-diffusion', 'arxiv:2307.01952', 'arxiv:2211.01324', 'arxiv:2108.01073', 'arxiv:2112.10752', 'license:openrail++', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionXLPipeline', 'region:us']",text-to-image,diffusers,2023-07-25T13:25:51.000Z,stabilityai/stable-diffusion-xl-base-1.0
661f97d48e7f3438386f755d,meta-llama/Meta-Llama-3-8B,6146,False,544469,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'en', 'license:llama3', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2024-04-17T09:35:16.000Z,meta-llama/Meta-Llama-3-8B
62862fbd504d37700308a82e,bigscience/bloom,4887,False,3932,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'bloom', 'text-generation', 'ak', 'ar', 'as', 'bm', 'bn', 'ca', 'code', 'en', 'es', 'eu', 'fon', 'fr', 'gu', 'hi', 'id', 'ig', 'ki', 'kn', 'lg', 'ln', 'ml', 'mr', 'ne', 'nso', 'ny', 'or', 'pa', 'pt', 'rn', 'rw', 'sn', 'st', 'sw', 'ta', 'te', 'tn', 'ts', 'tum', 'tw', 'ur', 'vi', 'wo', 'xh', 'yo', 'zh', 'zu', 'arxiv:2211.05100', 'arxiv:1909.08053', 'arxiv:2110.02861', 'arxiv:2108.12409', 'doi:10.57967/hf/0003', 'license:bigscience-bloom-rail-1.0', 'model-index', 'co2_eq_emissions', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2022-05-19T11:53:33.000Z,bigscience/bloom
66582ce552e752b1a72b985d,stabilityai/stable-diffusion-3-medium,4758,False,16022,"['diffusion-single-file', 'text-to-image', 'stable-diffusion', 'en', 'arxiv:2403.03206', 'license:other', 'region:us']",text-to-image,diffusion-single-file,2024-05-30T07:38:13.000Z,stabilityai/stable-diffusion-3-medium
657607b0a90ae2daaef65917,mistralai/Mixtral-8x7B-Instruct-v0.1,4386,False,511482,"['transformers', 'safetensors', 'mixtral', 'text-generation', 'conversational', 'fr', 'it', 'de', 'es', 'en', 'base_model:mistralai/Mixtral-8x7B-v0.1', 'base_model:finetune:mistralai/Mixtral-8x7B-v0.1', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-12-10T18:47:12.000Z,mistralai/Mixtral-8x7B-Instruct-v0.1
64b02a230c8415cd4a159fff,meta-llama/Llama-2-7b-chat-hf,4381,False,1186755,"['transformers', 'pytorch', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'llama-2', 'conversational', 'en', 'arxiv:2307.09288', 'license:llama2', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-07-13T16:45:23.000Z,meta-llama/Llama-2-7b-chat-hf
64aa630b73790912c790894e,meta-llama/Llama-2-7b,4312,False,0,"['facebook', 'meta', 'pytorch', 'llama', 'llama-2', 'text-generation', 'en', 'arxiv:2307.09288', 'license:llama2', 'region:us']",text-generation,,2023-07-09T07:34:35.000Z,meta-llama/Llama-2-7b
