repo_name,contributors_2025,participants_2025
pytorch/pytorch,20,2143
vllm-project/vllm,321,3161
langgenius/dify,199,3243
elastic/elasticsearch,169,463
ollama/ollama,78,3109
openvinotoolkit/openvino,150,450
apache/airflow,183,687
sgl-project/sglang,186,1107
open-webui/open-webui,167,1867
ggml-org/llama.cpp,163,0
BerriAI/litellm,146,1233
ray-project/ray,129,571
stackblitz/bolt.new,0,3462
PaddlePaddle/Paddle,120,396
airbytehq/airbyte,118,594
apache/spark,1,260
microsoft/onnxruntime,95,564
n8n-io/n8n,50,1252
infiniflow/ragflow,84,1426
NVIDIA/NeMo,92,308
