repo_name,stars,forks,watchers,open_issues,created_at,updated_at,language,size
microsoft/graphrag,27532,2854,27532,152,2024-03-27T17:57:52Z,2025-08-27T13:52:08Z,Python,216556
letta-ai/letta,18074,1879,18074,72,2023-10-11T07:38:37Z,2025-08-27T14:26:54Z,Python,47833
FoundationAgents/MetaGPT,58114,6995,58114,67,2023-06-30T09:04:55Z,2025-08-27T14:26:50Z,Python,184056
Significant-Gravitas/AutoGPT,178099,45955,178099,217,2023-03-16T09:21:07Z,2025-08-27T14:39:44Z,Python,276011
eosphoros-ai/DB-GPT,17220,2393,17220,448,2023-04-13T14:52:43Z,2025-08-27T12:33:57Z,Python,401357
deepset-ai/haystack,22032,2321,22032,121,2019-11-14T09:05:28Z,2025-08-27T13:42:53Z,Python,52265
chatchat-space/Langchain-Chatchat,35964,6006,35964,122,2023-03-31T12:12:45Z,2025-08-27T14:21:52Z,TypeScript,144216
openxla/xla,3454,624,3454,714,2022-08-09T15:30:01Z,2025-08-27T15:10:37Z,C++,276780
searxng/searxng,21459,2183,21459,230,2021-04-12T15:18:15Z,2025-08-27T15:21:11Z,Python,95818
ItzCrazyKns/Perplexica,23735,2495,23735,187,2024-04-09T10:51:32Z,2025-08-27T14:59:16Z,TypeScript,18326
zaidmukaddam/scira,10503,1309,10503,18,2024-08-07T13:29:49Z,2025-08-27T14:18:18Z,TypeScript,12494
google/A2A,19306,1953,19306,84,2025-03-25T18:44:21Z,2025-08-27T14:31:48Z,TypeScript,10607
ComposioHQ/composio,25674,4364,25674,95,2024-02-23T13:58:27Z,2025-08-27T14:49:17Z,TypeScript,969818
songquanpeng/one-api,26947,5381,26947,974,2023-04-22T12:39:24Z,2025-08-27T15:18:27Z,JavaScript,15886
SillyTavern/SillyTavern,17888,3867,17888,329,2023-02-09T10:19:24Z,2025-08-27T15:20:58Z,JavaScript,205961
ChatGPTNextWeb/NextChat,85665,61067,85665,761,2023-03-10T18:27:54Z,2025-08-27T14:31:38Z,TypeScript,20854
chatboxai/chatbox,36376,3494,36376,878,2023-03-06T12:22:15Z,2025-08-27T13:00:11Z,TypeScript,25119
oobabooga/text-generation-webui,44809,5767,44809,2585,2022-12-21T04:17:37Z,2025-08-27T14:26:37Z,Python,30797
AUTOMATIC1111/stable-diffusion-webui,155974,28924,155974,2422,2022-08-22T14:05:26Z,2025-08-27T15:22:23Z,Python,36427
stackblitz/bolt.new,15584,13676,15584,8196,2024-09-24T16:07:49Z,2025-08-27T14:27:08Z,TypeScript,1072
Aider-AI/aider,37000,3428,37000,1191,2023-05-09T18:57:49Z,2025-08-27T14:56:19Z,Python,139764
TabbyML/tabby,32003,1571,32003,254,2023-03-16T09:18:01Z,2025-08-27T15:12:18Z,Rust,111863
