repo_id, repo_name,removed
552661142,langchain-ai/langchain,
560704231,run-llama/llama_index,
680120071,microsoft/autogen,
607289185,microsoft/semantic-kernel,
676672661,langchain-ai/langgraph,
710601088,crewAIInc/crewAI,
946380199,openai/openai-agents-python,
615510678,camel-ai/camel,
778431525,microsoft/graphrag,x
656099147,mem0ai/mem0,
703411624,letta-ai/letta,x
660551251,FoundationAgents/MetaGPT,x
958830659,google/adk-python,
626805178,langgenius/dify,
193215554,n8n-io/n8n,
730534580,infiniflow/ragflow,
605673387,labring/FastGPT,
691347156,1Panel-dev/MaxKB,
621803253,FlowiseAI/Flowise,
614765452,Significant-Gravitas/AutoGPT,x
627480054,eosphoros-ai/DB-GPT,x
221654678,deepset-ai/haystack,x
621799276,chatchat-space/Langchain-Chatchat,x
23496542,triton-lang/triton,
523007292,openxla/xla,x
357241735,searxng/searxng,x
784181462,ItzCrazyKns/Perplexica,x
839372398,zaidmukaddam/scira,x
671269505,BerriAI/litellm,
890668799,modelcontextprotocol/servers,
954873280,google/A2A,x
762304524,ComposioHQ/composio,x
631254164,songquanpeng/one-api,x
204086862,streamlit/streamlit,
162405963,gradio-app/gradio,
599524116,SillyTavern/SillyTavern,x
701547123,open-webui/open-webui,
643445235,lobehub/lobe-chat,
612344730,ChatGPTNextWeb/NextChat,x
610260322,chatboxai/chatbox,x
580642043,oobabooga/text-generation-webui,x
527591471,AUTOMATIC1111/stable-diffusion-webui,x
862449441,stackblitz/bolt.new,x
644686905,continuedev/continue,
824874689,cline/cline,
771302083,All-Hands-AI/OpenHands,
638629097,Aider-AI/aider,
664592117,sourcegraph/cody,x
614764248,TabbyML/tabby,x
662766482, qodo-ai/pr-agent,x
33884891,apache/airflow,
283046497,airbytehq/airbyte,
131619646,dagster-io/dagster,
139199684,PrefectHQ/prefect,x
761150311,Zipstack/unstract,x
820144741,iterative/datachain,x
53548867,dbt-labs/dbt-core,x
541798154,Unstructured-IO/unstructured,x
192640529,HumanSignal/label-studio,
139156354,cvat-ai/cvat,
71932349,ray-project/ray,
17165658,apache/spark,
175592968,volcano-sh/volcano,x
28782747,dask/dask,x
654124617,open-compass/opencompass,x
615882673,lm-sys/FastChat,x
943934999,mannaandpoem/OpenManus,x
942114501,camel-ai/owl,x
949271792,mindverse/Second-Me,x
112542515,NVIDIA/cutlass,
669331976,flashinfer-ai/flashinfer,
494232964,Dao-AILab/flash-attention,
46153892,NVIDIA/nccl,x
933928679,deepseek-ai/DeepEP,
724854743,ml-explore/mlx,
658928958,ollama/ollama,
653496050,xorbitsai/inference,
942206898,ai-dynamo/dynamo,
151636194,triton-inference-server/server,x
619959033,nomic-ai/gpt4all,x
178075572,kserve/kserve,x
819733173,kvcache-ai/Mooncake,x
813348592,vllm-project/aibrix,x
634081686,mlc-ai/mlc-llm,x
178976529,bentoml/BentoML,x
599547518,vllm-project/vllm,
153097643,openvinotoolkit/openvino,
740303686,sgl-project/sglang,
612354784,ggml-org/llama.cpp,
156939672,microsoft/onnxruntime,x
679366051,NVIDIA/TensorRT-LLM,
833984877,kvcache-ai/ktransformers,x
654122609,InternLM/lmdeploy,x
547806116,huggingface/text-generation-inference,x
136202695,mlflow/mlflow,
86031674,wandb/wandb,
205706595,mlrun/mlrun,
448599559,deepflowio/deepflow,x
216628419,flyteorg/flyte,x
209120637,Netflix/metaflow,x
314197645,zenml-io/zenml,x
646410686,hiyouga/LLaMA-Factory,
725205304,unslothai/unsloth,
881221486,volcengine/verl,
672415139,OpenRLHF/OpenRLHF,
534011733,Farama-Foundation/Gymnasium,x
65600975,pytorch/pytorch,
65711522,PaddlePaddle/Paddle,
200722670,NVIDIA/NeMo,
154739597,jax-ml/jax,
45717250,tensorflow/tensorflow,x
33015583,keras-team/keras,x
235860204,deepspeedai/DeepSpeed,
176982014,NVIDIA/Megatron-LM,
422274596,hpcaitech/ColossalAI,x
589831718,comfyanonymous/ComfyUI,
644461337,vercel/ai,
881458615,browser-use/browser-use,
860252770,microsoft/OmniParser,x
391740664,open-metadata/OpenMetadata,
46398090,datahub-project/datahub,
631431061,apache/gravitino,
814708478,unitycatalog/unitycatalog,x
158256479,apache/iceberg,
76474200,apache/hudi,
447060287,apache/paimon,
182849188,delta-io/delta,
507775, elastic/elasticsearch,x
208728772, milvus-io/milvus,
334274271,opensearch-project/OpenSearch,x
55072677,weaviate/weaviate,
546206616,chroma-core/chroma,
268163609, qdrant/qdrant,
607441698, lancedb/lancedb,x
359952601, pgvector/pgvector,x
