repository, subfield, field,openrank_2022,openrank_2023,openrank_2024
postgres/postgres,Relational DBMS,STORAGE SYSTEMS,34.03,45.46,48.72
mysql/mysql-server,Relational DBMS,STORAGE SYSTEMS,31.5,39.44,43.92
MariaDB/server,Relational DBMS,STORAGE SYSTEMS,508.11,548.37,676.96
supabase/supabase,Relational DBMS,STORAGE SYSTEMS,1380.53,2229.86,2051.59
sqlite/sqlite,Relational DBMS,STORAGE SYSTEMS,0.94,3.61,3.27
citusdata/citus,Distributed SQL DBMS,STORAGE SYSTEMS,535.51,529.48,220.33
cockroachdb/cockroach,Distributed SQL DBMS,STORAGE SYSTEMS,3261.94,3171.18,2073.49
yugabyte/yugabyte-db,Distributed SQL DBMS,STORAGE SYSTEMS,2010.61,2132.03,1575.01
pingcap/tidb,Distributed SQL DBMS,STORAGE SYSTEMS,2056.54,1994.36,1562.03
oceanbase/oceanbase,Distributed SQL DBMS,STORAGE SYSTEMS,265.1,302.94,184.57
apache/shardingsphere,Distributed SQL DBMS,STORAGE SYSTEMS,1735.15,1428.65,880.61
neondatabase/neon,Distributed SQL DBMS,STORAGE SYSTEMS,601.2,829.7,859.29
crate/crate,Distributed SQL DBMS,STORAGE SYSTEMS,391.23,471.64,443.35
redis/redis,Cache Store,STORAGE SYSTEMS,970.97,825.12,433.47
memcached/memcached,Cache Store,STORAGE SYSTEMS,78.55,71.11,44.69
dragonflydb/dragonfly,Cache Store,STORAGE SYSTEMS,146.21,450.5,431.62
apache/ignite,In-memory SQL Database,STORAGE SYSTEMS,434.57,369.44,265.04
readysettech/readyset,In-memory SQL Database,STORAGE SYSTEMS,7.76,134.45,184.07
voltdb/voltdb,In-memory SQL Database,STORAGE SYSTEMS,,,
mongodb/mongo,Document Store,STORAGE SYSTEMS,45.45,46.11,6.83
ravendb/ravendb,Document Store,STORAGE SYSTEMS,672.84,861.75,629.75
rethinkdb/rethinkdb,Document Store,STORAGE SYSTEMS,40.84,26,10.33
apache/couchdb,Document Store,STORAGE SYSTEMS,221.1,287.2,186.55
couchbase,Document Store,STORAGE SYSTEMS,,,
FerretDB/FerretDB,Document Store,STORAGE SYSTEMS,174.04,356.72,212.26
typicode/lowdb,Document Store,STORAGE SYSTEMS,20.32,16.26,5.82
orientechnologies/orientdb,NoSQL Multi-model,STORAGE SYSTEMS,79.57,62.82,51.2
arangodb/arangodb,NoSQL Multi-model,STORAGE SYSTEMS,867.01,837.44,451.1
surrealdb/surrealdb,NoSQL Multi-model,STORAGE SYSTEMS,206.88,535.44,649.1
edgedb/edgedb,NoSQL Multi-model,STORAGE SYSTEMS,388.65,501.16,406.62
neo4j/neo4j,Graph Database,STORAGE SYSTEMS,115.75,190.95,99.33
JanusGraph/janusgraph,Graph Database,STORAGE SYSTEMS,122.52,149.8,122.23
apache/incubator-hugegraph,Graph Database,STORAGE SYSTEMS,155.12,172.85,148.08
vesoft-inc/nebula,Graph Database,STORAGE SYSTEMS,577.82,363.26,83.93
cayleygraph/cayley,Graph Database,STORAGE SYSTEMS,5.65,4.63,0.27
dgraph-io/dgraph,Graph Database,STORAGE SYSTEMS,88.98,239.94,73.87
basho/riak,Distributed Key-value Store,STORAGE SYSTEMS,19.71,14.7,1.23
