full_name,owner_type,stargazers_count,followers_count
limushu/3FS,User,0,0
JySongWithZhangCe/3FS,User,0,4
candychencan/3FS,User,0,10
chengmao2010/3FS,User,0,2
Saarthi-ai/3FS,Organization,0,13
guojialiang92/3FS,User,0,0
langgege/3FS,User,0,1
tinswzy/3FS,User,0,3
gaozih/3FS,User,0,6
labhnextits/3FS,User,0,0
01110011011101010110010001101111/3fs,User,0,41
James-LJ/3FS,User,0,0
loadams/3FS,User,0,27
dongjiuban/3FS,User,0,0
marvikomo/3FS,User,0,23
HJLebbink/3FS,User,0,90
zy2017zy/3FS,User,0,1
polyrabbit/3FS,User,0,299
zaorangyang/3FS,User,0,19
netapp-rickhuang-ai/3fs-RAG-agent,User,1,2
RichardZhong/3FS,User,0,0
yzr95924/3FS,User,0,49
shanshuirenshan/3FS,User,0,0
caesarloo/3FS,User,0,0
Yorkking/3FS,User,0,70
Lawliet828/3FS,User,0,2
tempbottle/3FS,User,0,42
rranjan14/3FS,User,0,34
hadxml/3FS,User,0,0
peaceforeverCN/3FS,User,0,0
Kaimary/3FS,User,0,15
legendronyang/3FS,User,0,0
fishzhuanlan/3FS,User,0,0
rickxtgg/3FS,User,0,0
nctu6/3FS,User,0,5
FuzeSoft/3FS,Organization,0,0
accLuowen/3FS,User,0,0
choulisa/3FS,User,0,0
wiltonlazary/3FS,User,0,32
dagelf/3FS,User,0,52
stergiotis/3FS,User,0,33
JuI3s/3FS,User,0,8
Aran85/3FS,User,0,5
nepur/3FS,User,0,25
zchrissirhcz/3FS,User,1,300
kangyifei/3FS,User,0,3
brightlau/3FS,User,0,2
feiyunwill/3FS,User,0,38
panickervinod/3FS,User,0,44
javigon/3FS,User,0,70
chan150/3FS,User,0,7
hartl3y94/3FS,User,0,0
zyh1994/3FS,User,0,2
roserouge/3FS,User,0,22
nfyang-nexus/3FS,User,0,0
thuannv/3FS,User,0,69
Wine93/3FS,User,0,49
techmaru/3FS,User,0,0
themoriarti/3FS,User,0,4
RangerCD/3FS,User,0,56
Hansyangxingxiang/3FS,User,0,0
Tangruilin/3FS,User,0,21
eos-octopus/3FS,Organization,0,0
weichaojie/3FS,User,0,5
entouchtt/3FS,User,0,0
zhangxyue/3FS,User,0,2
zmmwl/3FS,User,0,0
Mu-L/3FS,User,0,13
WD1993/3FS,User,0,2
onlyone0001/3FS,User,0,25
TheTechOddBug/3FS,User,0,18
omprakash7739/3FS,User,0,3
geezer-workshop/3FS,Organization,0,0
adhurim-del/3FS,User,0,1
mdwilliams811/3FS,User,0,0
TianyiDataAnalyst/3FS,User,0,1
961791326/3FS,User,0,0
shenxingwuying/3FS,User,0,8
atzamis/3FS,User,0,7
akang123/3FS,User,0,1
rsohlot/3FS,User,0,90
jrmahapatra/3fs,User,0,1
OutsideCollective/3FS,User,0,4
codewaltz1994/3FS,User,0,0
Cwickniss/3FS,User,0,2
5prcofc/3FS,User,0,0
nimble-fi-admin/3FS,User,0,1
3AceShowHand/3FS,User,0,70
haydenp-zhou/3FS,User,0,1
Alvyss/3FS,Organization,0,0
luyouli/3FS,User,0,0
openkiki/3FS,Organization,0,0
Omodaka9375/3FS,User,0,33
pupubear007/3FS,User,0,1
philloidin/3FS,User,0,2
hemanthmantri/3FS,User,0,1
shuxi/3FS,User,0,0
ufo2243/3FS,User,0,20
wangteng8862/3FS,User,0,1
mdarman4145/3FS-learn,User,0,0
CaptainBigger/3FS,User,0,0
2404589803/3FS,User,1,26
mumincgb/3FS,User,0,4
lskong/3FS,User,0,0
bozhou2010/3FS,User,0,0
m561247/3FS,User,0,60
wangyibin-gh/3FS,User,0,0
LuciferYang/3FS,User,0,124
visualYJD/3FS,User,0,0
fenghuahu/3FS,User,0,0
mapleFU/3FS,User,0,546
EdisonMJ/3FS,User,0,4
AllenDou/3FS,User,0,19
luowanqian/3FS,User,0,9
CongLeSolutionX/deepseek-ai_3FS,User,0,52
kunalyadavaa/3FS,User,0,26
felixwluo/3FS,User,0,8
drusong/3FS,User,0,2
RustLoverTheCoder/3FS,User,0,0
a-ok123/3FS,User,0,2
hnjm/3FS,User,2,122
dreamlike-ocean/3FS,User,0,209
chenmodexiaocao/3FS,User,0,0
kshravi86/3FS,User,0,20
fernwer/3FS,User,0,0
iholo/3FS,User,0,8
ChamanChen/3FS,User,0,0
luobuda/3FS,User,0,29
jnuwanghj/3FS,User,0,0
jomenxiao/3FS,User,0,13
fengzhiguo/3FS,User,0,2
wangdxh/3FS,User,0,47
tinysxing/3FS,User,0,3
hilbert-yaa/3FS,User,0,47
jianxx/3FS,User,0,3
okest12/3FS,User,0,0
harrysun2006/deepseek-3fs,User,0,16
tao-physics/3FS,User,0,4
kinmioliu/3FS,User,0,0
hengwen1/3FS,User,0,0
allen-munsch/3FS,User,0,8
aadr1024/3FS,User,0,5
Enterthewired01/3FS,User,0,7
srikanthsjosyula/3FS,User,0,0
kuolas/3FS,User,0,4
Joseph-Gross/3FS,User,0,7
khushil/3FS,User,0,6
Raj6713/3FS,User,0,6
huww98/3FS,User,0,80
krlptrck/3FS,User,0,3
juxj/3fs,User,0,11
vitco/3FS,User,0,2
doytsujin/3FS,User,0,58
tonyma163/3FS,User,0,13
Realifylife/3FS,User,0,0
xlcbingo1999/3FS,User,0,12
vsvasya/3FS,User,0,4
abhinavmall/3FS,User,0,3
XiaoGuoDong2019/3FS,User,0,2
alimy/3FS,User,0,33
A-SunsetMkt-Forks/3FS,Organization,0,6
outlaw-dame/3FS,User,0,7
rnz/3FS,User,0,14
wwjiang007/3FS,User,0,6
seago/3FS,User,0,8
donghyun-daniel/3FS,User,0,12
MaskMatrix/3FS,User,0,0
adamspd/3FS,User,0,22
sarkarbikram90/3FS,User,0,46
shichangsheng/3FS,User,0,0
kwangchoon/3FS,User,0,0
ztj5451/3FS,User,0,1
acproject/3FS,User,0,4
BENMFeng/3FS,User,0,51
lk896/3FS,User,0,0
hechel/3FS,User,0,1
penglaixy99/3FS,User,0,0
Dyl777/3FS,User,0,23
Definetx/3FS,User,0,1
sanket-algorithmic/3FS,User,0,2
mascot2010/3FS,User,0,0
roman-doubrava/3FS,User,0,0
manuflog/3fs,User,0,1
orglaoying/3FS,Organization,0,0
alexdolbun/3FS,User,0,315
elyas85/3FS,User,0,0
helyim/3FS,Organization,0,10
npsables/3FS,User,0,10
ahmedmaawy/3FS,Organization,0,1
iamazy/3FS,User,0,186
jt-zhang/3FS,User,1,100
61616176/3FS,User,0,0
hongboshi1234/3FS,User,0,0
caden1225/3FS,User,0,4
mraipsec-mra/3FS,User,0,0
ibm-t40/3FS,User,0,0
rodolf0/3FS,User,0,50
accelazh/3FS,User,0,69
owenservera/3FS-OpenScroll,User,0,0
willgitons/3FS,User,0,0
gaorufeng/3FS,User,0,11
zenithon/3fs,User,0,11
Sl0hly/3fs,User,0,0
chxymeyer/3FS,User,0,0
nssalian/3FS,User,0,43
hubayirp/3FS,User,0,8
fantasist/3FS,User,0,7
axon42/3FS,User,0,0
kirkryan/3fs,User,0,0
shaneholloman/3fs,User,0,30
mainsail44/3fs,User,0,0
wchch1010/3FS,User,0,6
rogeryu-ap/3FS,User,0,0
yexiangyu/3FS,User,0,3
QilinGu/3FS,User,0,48
syntax-syndicate/3FS,Organization,0,2
dentiny/3FS,User,0,54
QueTeddy/3FS,User,0,2
mrjdomingus/3FS,User,0,1
shannonman/3FS,User,0,0
bigdatasciencegroup/deepseek-3FS,Organization,0,60
