repo_name,classification,openrank_25,created_at,stars,forks,language,repo_id,comparev1
pytorch/pytorch,Training Platform,921.0,2016/8/13,91533.0,24673.0,Python,65600975.0,Pre-train
vllm-project/vllm,Inference Engine,637.0,2023/2/9,52280.0,8714.0,Python,599547518.0,Inference Engine
langgenius/dify,Agent Framework - Workflow,467.0,2023/4/12,107062.0,16234.0,TypeScript,626805178.0,Agent Framework - Workflow
tenstorrent/tt-metal,AI Kernel Library,352.0,2023/2/13,998.0,223.0,C++,601205363.0,x
microsoft/vscode-copilot-release,AI Coding,322.0,2023/4/18,971.0,131.0,,629635341.0,x
huggingface/transformers,ML Library,322.0,2018/10/29,146980.0,29640.0,Python,155220641.0,x
CherryHQ/cherry-studio,Client Interface,305.0,2024/5/24,30094.0,2628.0,TypeScript,805155266.0,x
sgl-project/sglang,Inference Engine,299.0,2024/1/8,16017.0,2353.0,Python,740303686.0,Inference Engine
ollama/ollama,Inference Deploy,289.0,2023/6/26,146569.0,12392.0,Go,658928958.0,Inference Deploy
apache/doris,AI Data,286.0,2017/8/10,13944.0,3492.0,Java,99919302.0,x
apache/airflow,Data Integration,286.0,2015/4/13,41009.0,15313.0,Python,33884891.0,Data Integration
openvinotoolkit/openvino,Inference Engine,268.0,2018/10/15,8580.0,2650.0,C++,153097643.0,Inference Engine
BerriAI/litellm,API Management,251.0,2023/7/27,25445.0,3478.0,Python,671269505.0,API Management
open-webui/open-webui,Client Interface,240.0,2023/10/6,102642.0,13717.0,JavaScript,701547123.0,Client Inferface
ggml-org/llama.cpp,Inference Engine,239.0,2023/3/10,83033.0,12355.0,C++,612354784.0,Inference Engine
ray-project/ray,Distributed Processing,235.0,2016/10/25,38009.0,6600.0,Python,71932349.0,Distributed Processing
n8n-io/n8n,Agent Framework - Workflow,234.0,2019/6/22,118372.0,35596.0,TypeScript,193215554.0,Agent Framework - Workflow
ultralytics/ultralytics,ML Library,226.0,2022/9/11,43089.0,8415.0,Python,535360445.0,x
PaddlePaddle/Paddle,Training Platform,215.0,2016/8/15,23031.0,5771.0,C++,65711522.0,Pre-train
infiniflow/ragflow,Agent Framework - Workflow,205.0,2023/12/12,59972.0,5988.0,Python,730534580.0,Agent Framework - Workflow
pytorch/executorch,Training Platform - Pytorch,202.0,2022/2/25,3034.0,616.0,Python,463628495.0,x
airbytehq/airbyte,AI Data Integration,197.0,2020/7/27,18846.0,4647.0,Python,283046497.0,Data Integration
NVIDIA/NeMo,Training Platform,197.0,2019/8/5,15085.0,2992.0,Python,200722670.0,Pre-train
microsoft/onnxruntime,Inference Engine,193.0,2018/11/10,17201.0,3338.0,C++,156939672.0,Inference Engine
supabase/supabase,Database,188.0,2019/10/12,85698.0,9201.0,TypeScript,214587193.0,x
stackblitz/bolt.new,AI Coding,187.0,2024/9/24,15279.0,13063.0,TypeScript,862449441.0,Coding Assistant
apache/spark,Distributed Processing,187.0,2014/2/25,41459.0,28692.0,Scala,17165658.0,Distributed Processing
continuedev/continue,AI Coding,165.0,2023/5/24,27665.0,3132.0,TypeScript,644686905.0,Coding Assistant
langflow-ai/langflow,Agent Framework,163.0,2023/2/8,86007.0,7078.0,Python,599320067.0,x
elizaOS/eliza,General Assistant,160.0,2024/7/9,16404.0,5278.0,TypeScript,826170402.0,x
lobehub/lobe-chat,Client Interface,156.0,2023/5/21,63468.0,13199.0,TypeScript,643445235.0,Client Inferface
cline/cline,AI Coding,152.0,2024/7/6,47571.0,6210.0,TypeScript,824874689.0,Coding Assistant
milvus-io/milvus,Vector Storage and Search,150.0,2019/9/16,35985.0,3298.0,Go,208728772.0,Vector Storage and Search
comfyanonymous/ComfyUI,Tool use,149.0,2023/1/17,82643.0,9144.0,Python,589831718.0,Tool use
NVIDIA/TensorRT-LLM,Inference Engine,141.0,2023/8/16,11019.0,1587.0,C++,679366051.0,Inference Engine
langchain-ai/langchain,Agent Framework - SDK,139.0,2022/10/17,111498.0,18145.0,Jupyter Notebook,552661142.0,Agent Framework - SDK
huggingface/diffusers,Model Library,132.0,2022/5/30,29796.0,6117.0,Python,498011141.0,x
anthropics/claude-code,AI Coding,131.0,2025/2/22,22994.0,1249.0,PowerShell,937253475.0,x
apache/iceberg,Unstructured Data Governance - Lake Format,130.0,2018/11/19,7716.0,2670.0,Java,158256479.0,Unstructured Data Governance - Lake Format
All-Hands-AI/OpenHands,AI Coding,129.0,2024/3/13,60480.0,7100.0,Python,771302083.0,Coding Assistant
hiyouga/LLaMA-Factory,Post-train,126.0,2023/5/28,54303.0,6655.0,Python,646410686.0,Post-train
volcengine/verl,Post-train,118.0,2024/10/31,11010.0,1825.0,Python,881221486.0,Post-train
opensearch-project/OpenSearch,Vector Storage and Search,118.0,2021/1/29,11132.0,2301.0,Java,334274271.0,Vector Storage and Search
open-metadata/OpenMetadata,Unstructured Data Governance - Catalog,117.0,2021/8/1,7078.0,1322.0,TypeScript,391740664.0,Unstructured Data Governance - Catalog
triton-lang/triton,AI Compiler,116.0,2014/8/30,16176.0,2117.0,MLIR,23496542.0,AI Compiler
vercel/ai,Tool use,115.0,2023/5/23,15759.0,2555.0,TypeScript,644461337.0,Tool use
run-llama/llama_index,Agent Framework - SDK,115.0,2022/11/2,43115.0,6194.0,Python,560704231.0,Agent Framework - SDK
modelscope/ms-swift,Post-train Fine-tune,114.0,2023/8/1,8672.0,746.0,Python,673412924.0,x
unslothai/unsloth,Post-train Fine-tune,110.0,2023/11/29,42088.0,3367.0,Python,725205304.0,Post-train
Aider-AI/aider,AI Coding,109.0,2023/5/9,35568.0,3267.0,Python,638629097.0,Coding Assistant
microsoft/semantic-kernel,Agent Framework - SDK,105.0,2023/2/27,25425.0,4049.0,C#,607289185.0,Agent Framework - SDK
google/adk-python,Agent Framework - SDK,103.0,2025/4/1,10936.0,1451.0,Python,958830659.0,Agent Framework - SDK
block/goose,AI Coding,103.0,2024/8/23,16635.0,1400.0,Rust,846698999.0,x
sourcegraph/cody,AI Coding,103.0,2023/7/10,3759.0,442.0,TypeScript,664592117.0,Coding Assistant
browser-use/browser-use,Tool use,99.0,2024/10/31,65524.0,7505.0,Python,881458615.0,Tool use
pydantic/pydantic-ai,Agent Framework,99.0,2024/6/21,10793.0,1025.0,Python,818331198.0,x
streamlit/streamlit,App Framework,99.0,2019/8/24,40414.0,3575.0,Python,204086862.0,App Framework
datahub-project/datahub,Unstructured Data Governance - Catalog,98.0,2015/11/18,10836.0,3161.0,Java,46398090.0,Unstructured Data Governance - Catalog
jax-ml/jax,Training Platform,97.0,2018/10/25,32808.0,3096.0,Python,154739597.0,Pre-train
mlflow/mlflow,MLOps,97.0,2018/6/5,21234.0,4680.0,Python,136202695.0,MLOps
agno-agi/agno,Agent Framework,94.0,2022/5/4,29977.0,3808.0,Python,488641606.0,x
