repo_id,repo_name,classification,stars,forks,openrank_25,language,created_at
552661142,langchain-ai/langchain,Agent Framework - SDK,109649,17839,148,Jupyter Notebook,2022/10/17
560704231,run-llama/llama_index,Agent Framework - SDK,42421,6082,117,Python,2022/11/2
680120071,microsoft/autogen,Agent Framework - SDK,46112,6995,98,Python,2023/8/18
607289185,microsoft/semantic-kernel,Agent Framework - SDK,25066,3966,106,C#,2023/2/27
676672661,langchain-ai/langgraph,Agent Framework - SDK,14343,2433,90,Python,2023/8/9
710601088,crewAIInc/crewAI,Agent Framework - SDK,33053,4435,75,Python,2023/10/27
946380199,openai/openai-agents-python,Agent Framework - SDK,11535,1692,69,Python,2025/3/11
615510678,camel-ai/camel,Agent Framework - SDK,12948,1389,67,Python,2023/3/17
778431525,microsoft/graphrag,Agent Framework - SDK,25886,2661,40,Python,2024/3/27
656099147,mem0ai/mem0,Agent Framework - SDK,34735,3461,39,Python,2023/6/20
703411624,letta-ai/letta,Agent Framework - SDK,16901,1759,26,Python,2023/10/11
660551251,FoundationAgents/MetaGPT,Agent Framework - SDK,56480,6771,15,Python,2023/6/30
958830659,google/adk-python,Agent Framework - SDK,10196,1269,96,Python,2025/4/1
626805178,langgenius/dify,Agent Framework - Workflow,103653,15580,476,TypeScript,2023/4/12
193215554,n8n-io/n8n,Agent Framework - Workflow,108494,31097,225,TypeScript,2019/6/22
730534580,infiniflow/ragflow,Agent Framework - Workflow,56471,5550,209,Python,2023/12/12
605673387,labring/FastGPT,Agent Framework - Workflow,24772,6379,87,TypeScript,2023/2/23
691347156,1Panel-dev/MaxKB,Agent Framework - Workflow,16855,2175,73,Python,2023/9/14
621803253,FlowiseAI/Flowise,Agent Framework - Workflow,40241,20633,52,TypeScript,2023/3/31
614765452,Significant-Gravitas/AutoGPT,Agent Framework - Workflow,176235,45820,47,Python,2023/3/16
627480054,eosphoros-ai/DB-GPT,Agent Framework - Workflow,16790,2308,38,Python,2023/4/13
221654678,deepset-ai/haystack,Agent Framework - Workflow,21185,2222,33,Python,2019/11/14
621799276,chatchat-space/Langchain-Chatchat,Agent Framework - Workflow,35316,5916,15,TypeScript,2023/3/31
23496542,triton-lang/triton,AI Compiler,15878,2049,115,MLIR,2014/8/30
523007292,openxla/xla,AI Compiler,3275,576,66,C++,2022/8/9
357241735,searxng/searxng,AI Search Engine,19745,2019,34,Python,2021/4/12
784181462,ItzCrazyKns/Perplexica,AI Search Engine,22394,2323,20,TypeScript,2024/4/9
839372398,zaidmukaddam/scira,AI Search Engine,8319,1012,10,TypeScript,2024/8/7
671269505,BerriAI/litellm,API Management,24201,3224,248,Python,2023/7/27
890668799,modelcontextprotocol/servers,API Management,54371,6211,80,JavaScript,2024/11/19
954873280,google/A2A,API Management,17111,1681,55,TypeScript,2025/3/25
762304524,ComposioHQ/composio,API Management,25516,4420,26,Python,2024/2/23
631254164,songquanpeng/one-api,API Management,25729,5237,24,JavaScript,2023/4/22
204086862,streamlit/streamlit,App Framework,39942,3508,101,Python,2019/8/24
162405963,gradio-app/gradio,App Framework,38636,2950,90,Python,2018/12/19
599524116,SillyTavern/SillyTavern,Client Inferface,15360,3444,48,JavaScript,2023/2/9
701547123,open-webui/open-webui,Client Inferface,99256,13094,247,JavaScript,2023/10/6
643445235,lobehub/lobe-chat,Client Inferface,62578,13018,165,TypeScript,2023/5/21
612344730,ChatGPTNextWeb/NextChat,Client Inferface,83835,61107,36,TypeScript,2023/3/10
610260322,chatboxai/chatbox,Client Inferface,35324,3376,36,TypeScript,2023/3/6
580642043,oobabooga/text-generation-webui,Client Inferface,43967,5670,28,Python,2022/12/21
527591471,AUTOMATIC1111/stable-diffusion-webui,Client Inferface,153597,28560,16,Python,2022/8/22
862449441,stackblitz/bolt.new,Coding Assistant,15021,12675,208,TypeScript,2024/9/24
644686905,continuedev/continue,Coding Assistant,27104,2979,169,TypeScript,2023/5/24
824874689,cline/cline,Coding Assistant,45827,5720,147,TypeScript,2024/7/6
771302083,All-Hands-AI/OpenHands,Coding Assistant,58364,6701,127,Python,2024/3/13
638629097,Aider-AI/aider,Coding Assistant,34453,3156,116,Python,2023/5/9
664592117,sourcegraph/cody,Coding Assistant,3703,428,110,TypeScript,2023/7/10
614764248,TabbyML/tabby,Coding Assistant,31428,1502,39,Rust,2023/3/16
662766482,qodo-ai/pr-agent,Coding Assistant,8151,935,27,Python,2023/7/5
33884891,apache/airflow,Data Integration,40597,15170,280,Python,2015/4/13
283046497,airbytehq/airbyte,Data Integration,18450,4585,201,Python,2020/7/27
131619646,dagster-io/dagster,Data Integration,13390,1712,172,Python,2018/4/30
139199684,PrefectHQ/prefect,Data Integration,19548,1852,86,Python,2018/6/29
761150311,Zipstack/unstract,Data Integration,5359,502,34,Python,2024/2/21
820144741,iterative/datachain,Data Integration,2584,114,26,Python,2024/6/25
53548867,dbt-labs/dbt-core,Data Integration,10986,1753,38,Python,2016/3/10
541798154,Unstructured-IO/unstructured,Data Integration,11529,958,19,HTML,2022/9/26
192640529,HumanSignal/label-studio,Data Labeling,22561,2819,73,JavaScript,2019/6/19
139156354,cvat-ai/cvat,Data Labeling,13900,3260,54,Python,2018/6/29
