repo_name,classification,openrank_25,created_at,stars,forks,language,repo_id,comparev1
pytorch/pytorch,Training Platform,921,2016/8/13,91533,24673,Python,65600975,Pre-train
vllm-project/vllm,Inference Engine,637,2023/2/9,52280,8714,Python,599547518,Inference Engine
langgenius/dify,Agent Framework - Workflow,467,2023/4/12,107062,16234,TypeScript,626805178,Agent Framework - Workflow
tenstorrent/tt-metal,AI Kernel Library,352,2023/2/13,998,223,C++,601205363,x
microsoft/vscode-copilot-release,AI Coding,322,2023/4/18,971,131,,629635341,x
huggingface/transformers,ML Library,322,2018/10/29,146980,29640,Python,155220641,x
CherryHQ/cherry-studio,Client Interface,305,2024/5/24,30094,2628,TypeScript,805155266,x
sgl-project/sglang,Inference Engine,299,2024/1/8,16017,2353,Python,740303686,Inference Engine
ollama/ollama,Inference Deploy,289,2023/6/26,146569,12392,Go,658928958,Inference Deploy
apache/doris,AI Data,286,2017/8/10,13944,3492,Java,99919302,x
apache/airflow,Data Integration,286,2015/4/13,41009,15313,Python,33884891,Data Integration
openvinotoolkit/openvino,Inference Engine,268,2018/10/15,8580,2650,C++,153097643,Inference Engine
BerriAI/litellm,API Management,251,2023/7/27,25445,3478,Python,671269505,API Management
open-webui/open-webui,Client Interface,240,2023/10/6,102642,13717,JavaScript,701547123,Client Inferface
ggml-org/llama.cpp,Inference Engine,239,2023/3/10,83033,12355,C++,612354784,Inference Engine
ray-project/ray,Distributed Processing,235,2016/10/25,38009,6600,Python,71932349,Distributed Processing
n8n-io/n8n,Agent Framework - Workflow,234,2019/6/22,118372,35596,TypeScript,193215554,Agent Framework - Workflow
ultralytics/ultralytics,ML Library,226,2022/9/11,43089,8415,Python,535360445,x
PaddlePaddle/Paddle,Training Platform,215,2016/8/15,23031,5771,C++,65711522,Pre-train
infiniflow/ragflow,Agent Framework - Workflow,205,2023/12/12,59972,5988,Python,730534580,Agent Framework - Workflow
pytorch/executorch,Training Platform - Pytorch,202,2022/2/25,3034,616,Python,463628495,x
airbytehq/airbyte,AI Data Integration,197,2020/7/27,18846,4647,Python,283046497,Data Integration
NVIDIA/NeMo,Training Platform,197,2019/8/5,15085,2992,Python,200722670,Pre-train
microsoft/onnxruntime,Inference Engine,193,2018/11/10,17201,3338,C++,156939672,Inference Engine
supabase/supabase,Database,188,2019/10/12,85698,9201,TypeScript,214587193,x
stackblitz/bolt.new,AI Coding,187,2024/9/24,15279,13063,TypeScript,862449441,Coding Assistant
apache/spark,Distributed Processing,187,2014/2/25,41459,28692,Scala,17165658,Distributed Processing
continuedev/continue,AI Coding,165,2023/5/24,27665,3132,TypeScript,644686905,Coding Assistant
langflow-ai/langflow,Agent Framework,163,2023/2/8,86007,7078,Python,599320067,x
elizaOS/eliza,General Assistant,160,2024/7/9,16404,5278,TypeScript,826170402,x
lobehub/lobe-chat,Client Interface,156,2023/5/21,63468,13199,TypeScript,643445235,Client Inferface
cline/cline,AI Coding,152,2024/7/6,47571,6210,TypeScript,824874689,Coding Assistant
milvus-io/milvus,Vector Storage and Search,150,2019/9/16,35985,3298,Go,208728772,Vector Storage and Search
