repo_id,repo_name,stars,forks,openrank_25,language,created_at,description,topics,trends
65600975,pytorch/pytorch,92039,24844,859.0,Python,2016-08-13,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"autograd,deep-learning,gpu,machine-learning,neural-network,numpy,python,tensor","[951, 929, 904, 925, 909, 907, 859]"
599547518,vllm-project/vllm,53912,9123,637.0,Python,2023-02-09,A high-throughput and memory-efficient inference and serving engine for LLMs,"amd,cuda,deepseek,gpt,hpu,inference,inferentia,llama,llm,llm-serving,llmops,mlops,model-serving,pytorch,qwen,rocm,tpu,trainium,transformer,xpu","[490, 581, 668, 723, 709, 651, 637]"
626805178,langgenius/dify,109674,16702,379.0,TypeScript,2023-04-12,Production-ready platform for agentic workflow development.,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow","[355, 416, 561, 560, 489, 418, 379]"
601205363,tenstorrent/tt-metal,1059,243,429.0,C++,2023-02-13,":metal: TT-NN operator library, and TT-Metalium low level kernel programming model.","accelerator,llama,llm,low-level-programming,metal,mistral,mixtral,ml,resnet,stable-diffusion,tenstorrent","[310, 321, 336, 367, 381, 397, 429]"
629635341,microsoft/vscode-copilot-release,976,132,158.0,,2023-04-18,Feedback on GitHub Copilot Chat UX in Visual Studio Code.,"ai,copilot,copilot-chat,copilot-x,vscode","[196, 257, 279, 366, 433, 402, 158]"
155220641,huggingface/transformers,147855,29898,320.0,Python,2018-10-29,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio,deep-learning,deepseek,gemma,glm,hacktoberfest,llm,machine-learning,model-hub,natural-language-processing,nlp,pretrained-models,python,pytorch,pytorch-transformers,qwen,speech-recognition,transformer,vlm","[314, 296, 317, 353, 332, 319, 320]"
805155266,CherryHQ/cherry-studio,30976,2727,313.0,TypeScript,2024-05-24,🍒 Cherry Studio is a desktop client that supports for multiple LLM providers.,"agent,anthropic,assistant,chatbot,chatbotai,electron,llm,mcp-client,openai","[86, 288, 356, 394, 377, 330, 313]"
740303686,sgl-project/sglang,16555,2518,352.0,Python,2024-01-08,SGLang is a fast serving framework for large language models and vision language models.,"blackwell,cuda,deepseek,deepseek-r1,deepseek-v3,inference,kimi,llama,llama3,llama4,llama5,llava,llm,llm-serving,moe,openai,pytorch,qwen3,transformer,vlm","[180, 257, 302, 338, 365, 351, 352]"
658928958,ollama/ollama,148664,12663,200.0,Go,2023-06-26,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.","deepseek,gemma,gemma3,gemma3n,go,golang,llama,llama2,llama3,llava,llm,llms,mistral,ollama,phi4,qwen","[281, 339, 327, 295, 273, 220, 200]"
99919302,apache/doris,14051,3516,280.0,Groovy,2017-08-10,"Apache Doris is an easy-to-use, high performance and unified analytics database.","agent,ai,bigquery,database,dbt,delta-lake,elt,hudi,iceberg,lakehouse,olap,paimon,query-engine,real-time,redshift,snowflake,spark,sql","[293, 287, 285, 284, 283, 281, 280]"
