month,repo_id,repo_name,openrank
2022-10,547806116,huggingface/text-generation-inference,0.45
2022-11,547806116,huggingface/text-generation-inference,0.49
2022-12,547806116,huggingface/text-generation-inference,3.9
2023-01,547806116,huggingface/text-generation-inference,4.73
2023-02,547806116,huggingface/text-generation-inference,6.72
2023-03,547806116,huggingface/text-generation-inference,9.62
2023-04,547806116,huggingface/text-generation-inference,19.42
2023-05,547806116,huggingface/text-generation-inference,36.53
2023-06,547806116,huggingface/text-generation-inference,49.01
2023-07,547806116,huggingface/text-generation-inference,81.28
2023-08,547806116,huggingface/text-generation-inference,89.84
2023-09,547806116,huggingface/text-generation-inference,86.69
2023-10,547806116,huggingface/text-generation-inference,70.5
2023-11,547806116,huggingface/text-generation-inference,54.43
2023-12,547806116,huggingface/text-generation-inference,53.23
2024-01,547806116,huggingface/text-generation-inference,56.52
2024-02,547806116,huggingface/text-generation-inference,57.6
2024-03,547806116,huggingface/text-generation-inference,41.79
2024-04,547806116,huggingface/text-generation-inference,59.14
2024-05,547806116,huggingface/text-generation-inference,68.22
2024-06,547806116,huggingface/text-generation-inference,79.47
2024-07,547806116,huggingface/text-generation-inference,85.21
2024-08,547806116,huggingface/text-generation-inference,68.36
2024-09,547806116,huggingface/text-generation-inference,64.64
2023-06,599547518,vllm-project/vllm,38.75
2023-07,599547518,vllm-project/vllm,98.75
2023-08,599547518,vllm-project/vllm,125.99
2023-09,599547518,vllm-project/vllm,157.02
2023-10,599547518,vllm-project/vllm,164.18
2023-11,599547518,vllm-project/vllm,193.48
2023-12,599547518,vllm-project/vllm,225.16
2024-01,599547518,vllm-project/vllm,243.25
2024-02,599547518,vllm-project/vllm,250.97
2024-03,599547518,vllm-project/vllm,295.67
2024-04,599547518,vllm-project/vllm,342.12
2024-05,599547518,vllm-project/vllm,357.55
2024-06,599547518,vllm-project/vllm,451.06
2024-07,599547518,vllm-project/vllm,476.95
2024-08,599547518,vllm-project/vllm,514.66
2024-09,599547518,vllm-project/vllm,532.54
2023-03,612354784,ggerganov/llama.cpp,146.3
2023-04,612354784,ggerganov/llama.cpp,187.62
2023-05,612354784,ggerganov/llama.cpp,179.72
2023-06,612354784,ggerganov/llama.cpp,204.64
2023-07,612354784,ggerganov/llama.cpp,204.39
2023-08,612354784,ggerganov/llama.cpp,225.68
2023-09,612354784,ggerganov/llama.cpp,233.95
2023-10,612354784,ggerganov/llama.cpp,225.8
2023-11,612354784,ggerganov/llama.cpp,220.03
2023-12,612354784,ggerganov/llama.cpp,243.74
2024-01,612354784,ggerganov/llama.cpp,257.97
2024-02,612354784,ggerganov/llama.cpp,279.29
2024-03,612354784,ggerganov/llama.cpp,289.03
2024-04,612354784,ggerganov/llama.cpp,335.97
2024-05,612354784,ggerganov/llama.cpp,340.67
2024-06,612354784,ggerganov/llama.cpp,349.47
2024-07,612354784,ggerganov/llama.cpp,321.97
2024-08,612354784,ggerganov/llama.cpp,265.26
2024-09,612354784,ggerganov/llama.cpp,254.77
2023-04,634081686,mlc-ai/mlc-llm,4.72
2023-05,634081686,mlc-ai/mlc-llm,61.9
2023-06,634081686,mlc-ai/mlc-llm,71.61
2023-07,634081686,mlc-ai/mlc-llm,62.52
2023-08,634081686,mlc-ai/mlc-llm,84.3
2023-09,634081686,mlc-ai/mlc-llm,76.98
2023-10,634081686,mlc-ai/mlc-llm,79.79
2023-11,634081686,mlc-ai/mlc-llm,82.03
2023-12,634081686,mlc-ai/mlc-llm,76.91
2024-01,634081686,mlc-ai/mlc-llm,75.45
2024-02,634081686,mlc-ai/mlc-llm,80.01
2024-03,634081686,mlc-ai/mlc-llm,85.57
2024-04,634081686,mlc-ai/mlc-llm,89.65
2024-05,634081686,mlc-ai/mlc-llm,90.99
2024-06,634081686,mlc-ai/mlc-llm,100.46
2024-07,634081686,mlc-ai/mlc-llm,74.09
2024-08,634081686,mlc-ai/mlc-llm,69.71
2024-09,634081686,mlc-ai/mlc-llm,55.33
2023-07,654122609,InternLM/lmdeploy,27.79
2023-08,654122609,InternLM/lmdeploy,45.59
2023-09,654122609,InternLM/lmdeploy,60.31
2023-10,654122609,InternLM/lmdeploy,65.75
2023-11,654122609,InternLM/lmdeploy,64.05
2023-12,654122609,InternLM/lmdeploy,63.65
2024-01,654122609,InternLM/lmdeploy,58.38
2024-02,654122609,InternLM/lmdeploy,64.79
2024-03,654122609,InternLM/lmdeploy,63.68
2024-04,654122609,InternLM/lmdeploy,76.97
2024-05,654122609,InternLM/lmdeploy,86.37
2024-06,654122609,InternLM/lmdeploy,107.32
2024-07,654122609,InternLM/lmdeploy,122.61
2024-08,654122609,InternLM/lmdeploy,113.97
2024-09,654122609,InternLM/lmdeploy,92.4
2023-10,679366051,NVIDIA/TensorRT-LLM,54.85
2023-11,679366051,NVIDIA/TensorRT-LLM,110.55
2023-12,679366051,NVIDIA/TensorRT-LLM,119.99
2024-01,679366051,NVIDIA/TensorRT-LLM,134.04
2024-02,679366051,NVIDIA/TensorRT-LLM,126.03
2024-03,679366051,NVIDIA/TensorRT-LLM,118.92
2024-04,679366051,NVIDIA/TensorRT-LLM,105.66
2024-05,679366051,NVIDIA/TensorRT-LLM,115.91
2024-06,679366051,NVIDIA/TensorRT-LLM,120.76
2024-07,679366051,NVIDIA/TensorRT-LLM,112.86
2024-08,679366051,NVIDIA/TensorRT-LLM,91.87
2024-09,679366051,NVIDIA/TensorRT-LLM,81.48
2024-01,740303686,sgl-project/sglang,29.78
2024-02,740303686,sgl-project/sglang,40.45
2024-03,740303686,sgl-project/sglang,45.89
2024-04,740303686,sgl-project/sglang,37.94
2024-05,740303686,sgl-project/sglang,34.83
2024-06,740303686,sgl-project/sglang,44.62
2024-07,740303686,sgl-project/sglang,58.76
2024-08,740303686,sgl-project/sglang,88.57
2024-09,740303686,sgl-project/sglang,102.1
